model,accuracy,macro_f1,macro_precision,macro_recall
TF-IDF + Logistic Regression,0.9910112359550561,0.9911892274336151,0.9907992512657444,0.9917366946778712
BERT (fine-tuned),0.9820224719101124,0.9824428108526382,0.9818833104311653,0.9830532212885155
