model,n_per_class,accuracy,macro_f1,train_time_sec
tfidf+logreg,20,0.9483146067415731,0.9475081777316398,1.0006301403045654
tfidf+logreg,50,0.9752808988764045,0.9754218157109203,0.7703633308410645
distilbert-base-uncased,50,0.9123595505617977,0.9107290971656674,3.740211009979248
tfidf+logreg,100,0.9685393258426966,0.9685089869411547,0.964357852935791
distilbert-base-uncased,100,0.9685393258426966,0.9696536625405212,4.481464385986328
tfidf+logreg,309,0.9865168539325843,0.9864148436773666,1.6116886138916016
distilbert-base-uncased,309,0.9865168539325843,0.9868283653762202,11.851522445678711
