model,outer_fold,best_lr,best_epochs,best_batch_size,outer_eval_accuracy,outer_eval_macro_f1,outer_eval_loss,train_time_sec
distilbert-base-uncased,1,2e-05,3,16,0.977088948787062,0.9768245585486965,0.09179481118917465,12.00577163696289
distilbert-base-uncased,2,2e-05,3,16,0.9865229110512129,0.9867412583252737,0.06984104961156845,11.809746980667114
distilbert-base-uncased,3,5e-05,2,16,0.9811066126855601,0.9810349104362655,0.07910733669996262,7.914441108703613
bert-base-uncased,1,2e-05,3,16,0.9784366576819407,0.9781379818536206,0.08333339542150497,17.33833646774292
bert-base-uncased,2,5e-05,2,16,0.9824797843665768,0.982800980570581,0.06765873730182648,11.757798910140991
bert-base-uncased,3,5e-05,2,16,0.9851551956815114,0.98526715919137,0.06146090477705002,11.737248420715332
